role,location,url
Elektroniker Automatisierungstechnik (all genders) Zalando,"Ludwigsfelde, Germany",https://jobs.zalando.com/en/jobs/4476499-elektroniker-automatisierungstechnik-all-genders-zalando/
Praktikant (m/w/d) Recruiting & Employer Branding,"Ansbach, Germany",https://jobs.zalando.com/en/jobs/4706071-praktikant-m-w-d-recruiting-employer-branding/
Internship Recruiting & Employer Branding (m/f/d),"Ansbach, Germany",https://jobs.zalando.com/en/jobs/4706073-internship-recruiting-employer-branding-m-f-d/
Fitting Model & Fit Assistant - Women's Shoes EU39 (All Genders),"Berlin, Germany",https://jobs.zalando.com/en/jobs/4621283-fitting-model-fit-assistant-women-s-shoes-eu39-all-genders/"Elektroniker, Mechatroniker, Instandhaltungstechniker (all genders)",Mönchengladbach,https://jobs.zalando.com/en/jobs/4778692-elektroniker-mechatroniker-instandhaltungstechniker-all-genders/
Elektriker Gebäudetechnik (all genders),Erfurt,https://jobs.zalando.com/en/jobs/4782881-elektriker-geb-udetechnik-all-genders/
Elektroniker Automatisierungstechnik (all genders) Zalando,Ludwigsfelde,https://jobs.zalando.com/en/jobs/4756914-elektroniker-automatisierungstechnik-all-genders-zalando/
"Elektroniker, Mechatroniker, Instandhaltungstechniker (all genders)",Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4778812-elektroniker-mechatroniker-instandhaltungstechniker-all-genders/
"Elektroniker, Mechatroniker, Instandhaltungstechniker (all genders)",Mönchengladbach,https://jobs.zalando.com/en/jobs/4778692-elektroniker-mechatroniker-instandhaltungstechniker-all-genders/
Footwear Fitting Model EU 37 - Working Student (All Genders),Berlin,https://jobs.zalando.com/en/jobs/4769883-footwear-fitting-model-eu-37-working-student-all-genders/
Duales Studium 2023 - Wirtschaftsinformatik: Schwerpunkt Software Engineering (m/w/d),Ansbach,https://jobs.zalando.com/en/jobs/4927370-duales-studium-2023-wirtschaftsinformatik-schwerpunkt-software-engineering-m-w-d/
Graduate Software Engineer - Partner Fulfilment Solutions (All Genders),Stockholm,https://jobs.zalando.com/en/jobs/4806986-graduate-software-engineer-partner-fulfilment-solutions-all-genders/
Graduate Software Engineer - Partner Fulfilment Solutions (All Genders),Stockholm,https://jobs.zalando.com/en/jobs/4806986-graduate-software-engineer-partner-fulfilment-solutions-all-genders/
Werkstudent (m/w/d) Recruiting & Employer Branding,Ansbach,https://jobs.zalando.com/en/jobs/4706071-werkstudent-m-w-d-recruiting-employer-branding/
Working Student Recruiting & Employer Branding (m/f/d),Ansbach,https://jobs.zalando.com/en/jobs/4706073-working-student-recruiting-employer-branding-m-f-d/
Junior E-Commerce Manager Romania & Hungary (all genders),Berlin,https://jobs.zalando.com/en/jobs/4956417-junior-e-commerce-manager-romania-hungary-all-genders/
Working Student Strategic Employee Relations (all genders),Berlin,https://jobs.zalando.com/en/jobs/4937244-working-student-strategic-employee-relations-all-genders/
