role,location,url
"Summer Internship, Music Programmer | Music Strategy (EMEA)",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/summer-internship-music-programmer-music-strategy-emea
"Data Scientist, Content Platform",London,https://www.lifeatspotify.com/jobs/data-scientist-content-platform
"C++ Engineer, Player Foundation",London,https://www.lifeatspotify.com/jobs/c-engineer-player-foundation
Account Manager,Tokyo,https://www.lifeatspotify.com/jobs/account-manager
"Senior Web Engineer, AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-web-engineer-adtech
"Web Engineer, AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/web-engineer-adtech
"Legal Counsel, Platform Liability",New York,https://www.lifeatspotify.com/jobs/legal-counsel-platform-liability
"Senior Product Manager, Reliability",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-manager-reliability
"Backend Engineer, Compliance",London,https://www.lifeatspotify.com/jobs/backend-engineer-compliance
"Account Manager, Advertising",New York,https://www.lifeatspotify.com/jobs/account-manager-advertising-2
"Senior Android Engineer, AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-android-engineer-adtech
"Summer Internship, Editorial Intern | The Ringer (US)",Los Angeles or Remote Americas,https://www.lifeatspotify.com/jobs/summer-internship-editorial-intern-the-ringer-us
"Senior Software Engineer, Audiobooks",New York or Remote ESTAmericas,https://www.lifeatspotify.com/jobs/senior-software-engineer-audiobooks-mission
"Engineering Manager, Audiobooks",New York or Remote Americas,https://www.lifeatspotify.com/jobs/engineering-manager-audiobooks-mission
"Director of Engineering, Platforms & Partner Experience",Stockholm,https://www.lifeatspotify.com/jobs/director-of-engineering-platforms-partner-experience
"Artist & Label Partnerships Manager, Egypt",Dubai,https://www.lifeatspotify.com/jobs/artist-label-partnerships-manager-egypt
Business Protection Manager,Singapore,https://www.lifeatspotify.com/jobs/business-protection-manager
"Policy Support Specialist, Vendor Operations",Dublin,https://www.lifeatspotify.com/jobs/policy-support-specialist-vendor-operations
"Associate Operations Manager, Policy Enforcement Operations",Dublin,https://www.lifeatspotify.com/jobs/associate-operations-manager-policy-enforcement-operations
"Full Stack Mobile Engineer, Tooling, Integrations, & Labs",New York,https://www.lifeatspotify.com/jobs/full-stack-mobile-engineer-tooling-integrations-labs
"Senior Engineering Manager, Security",New York or Remote ESTAmericas,https://www.lifeatspotify.com/jobs/senior-engineering-manager-spotify-security
Compensation Partner,Chicago or Remote Americas,https://www.lifeatspotify.com/jobs/compensation-partner
"Director of Engineering, User Platform",London,https://www.lifeatspotify.com/jobs/director-of-engineering-user-platform
Spotify Advertising Vertical Manager,New York,https://www.lifeatspotify.com/jobs/spotify-advertising-vertical-manager
Spotify Advertising Solutions Manager,New York,https://www.lifeatspotify.com/jobs/spotify-advertising-solutions-manager
Campaign Manager,Toronto,https://www.lifeatspotify.com/jobs/campaign-manager
"Client Partner, Agency, UK",London,https://www.lifeatspotify.com/jobs/client-partner-agency-uk-2
"Engineering Manager, Content Intelligence",New York or Remote Americas,https://www.lifeatspotify.com/jobs/engineering-manager-content-intelligence
"Account Manager, Advertising (Fixed Term 12, 16 months)",Düsseldorf,https://www.lifeatspotify.com/jobs/account-manager-advertising-fixed-term-12-16-months-5
"Account Manager, Advertising (Fixed Term 12, 16 months)",Hamburg,https://www.lifeatspotify.com/jobs/account-manager-advertising-fixed-term-12-16-months-4
"Campaign Manager, Dusseldorf",Düsseldorf,https://www.lifeatspotify.com/jobs/campaign-manager-dusseldorf
"Campaign Manager, Hamburg",Hamburg,https://www.lifeatspotify.com/jobs/campaign-manager-hamburg
"Campaign Manager, Frankfurt",Frankfurt,https://www.lifeatspotify.com/jobs/campaign-manager-frankfurt
Agency Development Lead,Chicago,https://www.lifeatspotify.com/jobs/agency-development-lead-3
"Account Manager, Pharmaceuticals & Healthcare, Advertising",New York,https://www.lifeatspotify.com/jobs/account-manager-pharmaceuticals-healthcare-advertising
"Marketing Cloud Developer Manager, SMS Marketing",New York,https://www.lifeatspotify.com/jobs/manager-marketing-cloud-developer-sms-marketing
Agency Development Lead,Toronto,https://www.lifeatspotify.com/jobs/agency-development-lead-2
Agency Development Lead,New York,https://www.lifeatspotify.com/jobs/agency-development-lead
"Senior Manager, APAC Accounting",Singapore,https://www.lifeatspotify.com/jobs/senior-manager-accounting
"Senior Application Engineer, Digital Workplace",New York or Remote ESTAmericas,https://www.lifeatspotify.com/jobs/senior-application-engineer-digital-workplace
"Campaign Manager, Munich",Munich,https://www.lifeatspotify.com/jobs/campaign-manager-munich
"Application Engineer, Digital Workplace",New York or Remote ESTAmericas,https://www.lifeatspotify.com/jobs/application-engineer-digital-workplace
"Campaign Manager, Berlin",Berlin,https://www.lifeatspotify.com/jobs/campaign-manager-berlin
"Global Category Development Officer, Tech & Telco",San Francisco or Remote Americas,https://www.lifeatspotify.com/jobs/global-category-development-officer-tech-telco-2
"Account Manager, Advertising (Fixed Term 12, 16 months)",Munich,https://www.lifeatspotify.com/jobs/account-manager-advertising-fixed-term-12-16-months-3
"Summer Internship, User Research Intern (EMEA)",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/summer-internship-user-research-intern-emea
"Account Manager, Advertising (Fixed Term 12, 16 months)",Berlin,https://www.lifeatspotify.com/jobs/account-manager-advertising-fixed-term-12-16-months-2
"Account Manager, Advertising (Fixed Term 12, 16 months)",Frankfurt,https://www.lifeatspotify.com/jobs/account-manager-advertising-fixed-term-12-16-months
