role,exp_level,location,url
MFT Maintenance Expert,Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/1621963-mft-maintenance-expert/
Junior Store Manager (all genders) (Relocation to Konstanz),Leadership,Konstanz,https://jobs.zalando.com/en/jobs/4230448-junior-store-manager-all-genders-relocation-to-konstanz/
Junior Store Manager (all genders) Flagship Store Berlin,Leadership,Berlin,https://jobs.zalando.com/en/jobs/4333856-junior-store-manager-all-genders-flagship-store-berlin/
Junior Store Manager (all genders) Flagship Store Berlin,Leadership,Berlin,https://jobs.zalando.com/en/jobs/4850785-junior-store-manager-all-genders-flagship-store-berlin/
Verkäufer (all genders) in Teilzeit Zalando Outlet Frankfurt/Main,Entry Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4823334-verk-ufer-all-genders-in-teilzeit-zalando-outlet-frankfurt-main/
Junior Store Manager (all genders) Ulm,Leadership,Ulm,https://jobs.zalando.com/en/jobs/4783200-junior-store-manager-all-genders-ulm/
Junior Store Manager (all genders) Ulm,Leadership,Ulm,https://jobs.zalando.com/en/jobs/4982887-junior-store-manager-all-genders-ulm/
Deputy Manager (all genders) Frankfurt/Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4630200-deputy-manager-all-genders-frankfurt-main/
Supervisor Verkaufsfläche (all genders),Professional Level,"Leipzig, Frankfurt am Main, Bielefeld, Berlin",https://jobs.zalando.com/en/jobs/3873075-supervisor-verkaufsfl-che-all-genders/
Senior Backend Engineer (Javascript/Typescript) - Fulfillment Core,Professional Level,Helsinki,https://jobs.zalando.com/en/jobs/4027654-senior-backend-engineer-javascript-typescript-fulfillment-core/
Senior Product Security Expert (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4796513-senior-product-security-expert-all-genders/
Prin­ci­pal Product Security Expert (all genders) - B2B,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4803000-prin-ci-pal-product-security-expert-all-genders-b2b/
"Partner Consultant, Gift Cards (all genders)",Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4762851-partner-consultant-gift-cards-all-genders/
Principal Engineer - Partner Fulfilment Solutions (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4772843-principal-engineer-partner-fulfilment-solutions-all-genders/
Hausmeister (all genders),Entry Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4778660-hausmeister-all-genders/
"Elektroniker, Mechatroniker, Instandhaltungstechniker (all genders)",Entry Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4778692-elektroniker-mechatroniker-instandhaltungstechniker-all-genders/
Betriebssanitäter in Dauernachtschicht (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4778754-betriebssanit-ter-in-dauernachtschicht-all-genders/
"Ausbildung zum Mechatroniker, 2023 (all genders)",Future Zalents - Apprentices,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4778822-ausbildung-zum-mechatroniker-2023-all-genders/
Logistikmitarbeiter (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4779680-logistikmitarbeiter-all-genders/
Elektriker Gebäudetechnik (all genders),Entry Level,Erfurt,https://jobs.zalando.com/en/jobs/4782881-elektriker-geb-udetechnik-all-genders/
Senior Software Engineer - Java (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4630172-senior-software-engineer-java-all-genders/
Ausbildung 2023 Kaufleute für IT-Systemmanagement (m/w/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4646221-ausbildung-2023-kaufleute-f-r-it-systemmanagement-m-w-d/
(Senior) Software Engineer - Partner Fulfillment Solutions (all genders),Professional Level,Stockholm,https://jobs.zalando.com/en/jobs/4669844--senior-software-engineer-partner-fulfillment-solutions-all-genders/
Strategic Partnership Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4793358-strategic-partnership-manager-all-genders/
Manager Delivery Operations (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4712019-manager-delivery-operations-all-genders/
Senior Backend Software Engineer- Gift Cards (all genders),Professional Level,Dortmund,https://jobs.zalando.com/en/jobs/4731501-senior-backend-software-engineer-gift-cards-all-genders/
Kassierer (all genders) in 15h Teilzeit im Zalando Outlet Frankfurt/Main,Entry Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4753254-kassierer-all-genders-in-15h-teilzeit-im-zalando-outlet-frankfurt-main/
Senior Safety Specialist (all genders),Entry Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4753444-senior-safety-specialist-all-genders/
Senior Product Security Expert (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4796513-senior-product-security-expert-all-genders/
Prin­ci­pal Product Security Expert (all genders) - B2B,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4803000-prin-ci-pal-product-security-expert-all-genders-b2b/
Senior Product Analyst - B2B (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4841465-senior-product-analyst-b2b-all-genders/
Principal Product Manager - Zalando Plus (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4844013-principal-product-manager-zalando-plus-all-genders/
MFT Maintenance Expert,Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/1621963-mft-maintenance-expert/
Junior Store Manager (all genders) (Relocation to Konstanz),Leadership,Konstanz,https://jobs.zalando.com/en/jobs/4230448-junior-store-manager-all-genders-relocation-to-konstanz/
Junior Store Manager (all genders) Flagship Store Berlin,Leadership,Berlin,https://jobs.zalando.com/en/jobs/4333856-junior-store-manager-all-genders-flagship-store-berlin/
Junior Store Manager (all genders) Flagship Store Berlin,Leadership,Berlin,https://jobs.zalando.com/en/jobs/4850785-junior-store-manager-all-genders-flagship-store-berlin/
Verkäufer (all genders) in Teilzeit Zalando Outlet Frankfurt/Main,Entry Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4823334-verk-ufer-all-genders-in-teilzeit-zalando-outlet-frankfurt-main/
Junior Store Manager (all genders) Ulm,Leadership,Ulm,https://jobs.zalando.com/en/jobs/4783200-junior-store-manager-all-genders-ulm/
Junior Store Manager (all genders) Ulm,Leadership,Ulm,https://jobs.zalando.com/en/jobs/4982887-junior-store-manager-all-genders-ulm/
Deputy Manager (all genders) Frankfurt/Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4630200-deputy-manager-all-genders-frankfurt-main/
Betriebssanitäter in Dauernachtschicht (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4778754-betriebssanit-ter-in-dauernachtschicht-all-genders/
"Ausbildung zum Mechatroniker, 2023 (all genders)",Future Zalents - Apprentices,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4778822-ausbildung-zum-mechatroniker-2023-all-genders/
Logistikmitarbeiter (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4779680-logistikmitarbeiter-all-genders/
Elektriker Gebäudetechnik (all genders),Entry Level,Erfurt,https://jobs.zalando.com/en/jobs/4782881-elektriker-geb-udetechnik-all-genders/
Software Engineer [Kotlin/Java] - (all genders),Professional Level,Dortmund,https://jobs.zalando.com/en/jobs/4782989-software-engineer-kotlin-java-all-genders/
Senior Product Analyst (all genders),Professional Level,Stockholm,https://jobs.zalando.com/en/jobs/4789471-senior-product-analyst-all-genders/
Head of Talent Management (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4828009-head-of-talent-management-all-genders/
Team Assistant für den Bereich Legal (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4810444-team-assistant-f-r-den-bereich-legal-all-genders/
ServiceNow Platform Architect (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4805970-servicenow-platform-architect-all-genders/
Graduate Software Engineer - Partner Fulfilment Solutions (All Genders),Early Careers - Graduate Program,Stockholm,https://jobs.zalando.com/en/jobs/4806986-graduate-software-engineer-partner-fulfilment-solutions-all-genders/
Lead Product Safety & Clarification Management (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4271673-lead-product-safety-clarification-management-all-genders/
Deputy Manager (all genders) Mannheim,Leadership,Mannheim,https://jobs.zalando.com/en/jobs/4630212-deputy-manager-all-genders-mannheim/
HR Business Partner / Personalreferent (all genders) Zalando Logistics Mönchengladbach,Professional Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4810402-hr-business-partner-personalreferent-all-genders-zalando-logistics-m-nchengladbach/
Digital Marketing Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4516088-digital-marketing-manager-m-f-d/
"Principal Applied Scientist - Personalization and recommendations, Machine Learning and Deep Learning (all genders)",Leadership,Berlin,https://jobs.zalando.com/en/jobs/4523580-principal-applied-scientist-personalization-and-recommendations-machine-learning-and-deep-learning-all-genders/
Senior Software Engineer (Java) in B2B (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4535615-senior-software-engineer-java-in-b2b-all-genders/
Supervisor Verkaufsfläche (all genders),"Professional Level, Leadership",Berlin,https://jobs.zalando.com/en/jobs/4548099-supervisor-verkaufsfl-che-all-genders/
Supervisor Verkaufsfläche (all genders),"Professional Level, Leadership",Leipzig,https://jobs.zalando.com/en/jobs/4576978-supervisor-verkaufsfl-che-all-genders/
Erfahrener Elektriker (all genders),Professional Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4991396-erfahrener-elektriker-all-genders/
MFT Maintenance Expert,Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/1621963-mft-maintenance-expert/
Junior Store Manager (all genders) (Relocation to Konstanz),Leadership,Konstanz,https://jobs.zalando.com/en/jobs/4230448-junior-store-manager-all-genders-relocation-to-konstanz/
Elektriker (all genders),Professional Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4991397-elektriker-all-genders/
Hausmeister (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4991392-hausmeister-all-genders/
Fullstack Engineer - Partner Tech,Professional Level,Helsinki,https://jobs.zalando.com/en/jobs/4950379-fullstack-engineer-partner-tech/
Backend Engineer (Java) - Zalando Premium Logistics,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4806967-backend-engineer-java-zalando-premium-logistics/
Facility Manager (all genders),Entry Level,Ludwigsfelde,https://jobs.zalando.com/en/jobs/4991333-facility-manager-all-genders/
Principal Product Manager- Delivery and Returns Innovation (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4852366-principal-product-manager-delivery-and-returns-innovation-all-genders/
Customer Care Specialist (all genders) - Swedish Market,Entry Level,Berlin,https://jobs.zalando.com/en/jobs/4862071-customer-care-specialist-all-genders-swedish-market/
Store Manager (all genders) Zalando Outlet Bielefeld,Leadership,Bielefeld,https://jobs.zalando.com/en/jobs/4870206-store-manager-all-genders-zalando-outlet-bielefeld/
Embedded Security Expert (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4892352-embedded-security-expert-all-genders/
Senior Software Engineer (Kotlin/Java) – Warehouse Fulfillment Quality Algorithms (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4870593-senior-software-engineer-kotlin-java-warehouse-fulfillment-quality-algorithms-all-genders/
Elektriker (all genders),Professional Level,Gießen,https://jobs.zalando.com/en/jobs/4882569-elektriker-all-genders/
Brand Protection Operations Lead - Platform Conformity (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4977382-brand-protection-operations-lead-platform-conformity-all-genders/
Senior Data Engineer - Digital Insights & Analytics,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4887098-senior-data-engineer-digital-insights-analytics/
Hausmeister (m/w/d) 520€-Basis,Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4895504-hausmeister-m-w-d-520-basis/
SAP Senior Consultant - Tax solutions (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4898066-sap-senior-consultant-tax-solutions-all-genders/
Product Director - Content Experiences,Executive,Berlin,https://jobs.zalando.com/en/jobs/4906118-product-director-content-experiences/
Junior Packaging Engineer (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4937205-junior-packaging-engineer-all-genders/
Teamleiter Lager (all genders),Professional Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4922768-teamleiter-lager-all-genders/
Floor Specialist (all genders) Frankfurt am Main,Professional Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4922775-floor-specialist-all-genders-frankfurt-am-main/
Supervisor (all genders) Kassenbereich,Professional Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4922801-supervisor-all-genders-kassenbereich/
Store Manager (all genders) Frankfurt am Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4922822-store-manager-all-genders-frankfurt-am-main/
Duales Studium 2023 - Wirtschaftsinformatik: Schwerpunkt Software Engineering (m/w/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4927370-duales-studium-2023-wirtschaftsinformatik-schwerpunkt-software-engineering-m-w-d/
Senior Software Engineer - Search and Browse Web Experience,Professional Level,Dublin,https://jobs.zalando.com/en/jobs/4928794-senior-software-engineer-search-and-browse-web-experience/
Account Manager E-Commerce Business DACH (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4930460-account-manager-e-commerce-business-dach-m-w-d/
(Senior) Success Manager Marketplace (m/w/d),Professional Level,"London, Cheltenham, Ansbach",https://jobs.zalando.com/en/jobs/4930486--senior-success-manager-marketplace-m-w-d/
Labor Relations Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4942363-labor-relations-manager-all-genders/
Backend Engineer (Scala) - Partner Tech (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4942158-backend-engineer-scala-partner-tech-all-genders/
Abteilungsleiter (all genders),Professional Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4942436-abteilungsleiter-all-genders/
Supply Chain Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4948057-supply-chain-manager-all-genders/
Senior Technical Project Manager (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4955840-senior-technical-project-manager-m-w-d/
Sales Manager (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4955844-sales-manager-m-w-d/
Data Engineer - Partner Tech (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4958752-data-engineer-partner-tech-all-genders/
Applied Scientist - Content and Ad Economics (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4961900-applied-scientist-content-and-ad-economics-all-genders/
LKW Fahrer (all genders),Entry Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4961936-lkw-fahrer-all-genders/
Lead Content DACH (all genders) - Parental Leave Cover (12 months),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4964871-lead-content-dach-all-genders-parental-leave-cover-12-months/
Werkstudent (all genders) in Hamburg,Early Careers - Internships & Working Students,Hamburg,https://jobs.zalando.com/en/jobs/4971066-werkstudent-all-genders-in-hamburg/
Werkstudent (all genders) in Bielefeld,Early Careers - Internships & Working Students,Bielefeld,https://jobs.zalando.com/en/jobs/4974365-werkstudent-all-genders-in-bielefeld/
Working Student (all genders) in Bielefeld,Early Careers - Internships & Working Students,Bielefeld,https://jobs.zalando.com/en/jobs/4974379-working-student-all-genders-in-bielefeld/
Verkäufer (all genders) Vollzeit in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974463-verk-ufer-all-genders-vollzeit-in-bielefeld/
Sales Assistant (all genders) Full Time in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974465-sales-assistant-all-genders-full-time-in-bielefeld/
Lagerist (all genders) Vollzeit in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974475-lagerist-all-genders-vollzeit-in-bielefeld/
Warehouse Clerk (all genders) Full Time in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974477-warehouse-clerk-all-genders-full-time-in-bielefeld/
Technical Support Manager - 1st Level (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4974691-technical-support-manager-1st-level-m-w-d/
Assistant Account Management (m/w/d),Entry Level,"London, Cheltenham, Ansbach",https://jobs.zalando.com/en/jobs/4977487-assistant-account-management-m-w-d/
Assistant Account Management (m/f/d),Entry Level,"London, Cheltenham, Ansbach",https://jobs.zalando.com/en/jobs/4977488-assistant-account-management-m-f-d/
Verkäufer (all genders) Teilzeit 15h/Woche - Hamburg,"Entry Level, Professional Level",Hamburg,https://jobs.zalando.com/en/jobs/3985419-verk-ufer-all-genders-teilzeit-15h-woche-hamburg/
Tecnico specilizzato di manutenzione,Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/1621694-tecnico-specilizzato-di-manutenzione/
Deputy Manager (all genders) Konstanz,Leadership,Konstanz,https://jobs.zalando.com/en/jobs/4630201-deputy-manager-all-genders-konstanz/
Head of Product - Pricing - Lounge by Zalando (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/2326918-head-of-product-pricing-lounge-by-zalando-all-genders/
Deputy Manager (all genders) Flagship Store Berlin,Leadership,Berlin,https://jobs.zalando.com/en/jobs/3711542-deputy-manager-all-genders-flagship-store-berlin/
"Principal Applied Scientist - Computer Vision, Deep Learning (all genders)",Professional Level,Berlin,https://jobs.zalando.com/en/jobs/3693283-principal-applied-scientist-computer-vision-deep-learning-all-genders/
Junior Store Manager (all genders) Zalando,Leadership,"Bielefeld, Ulm, Münster, Mannheim, and 4 more",https://jobs.zalando.com/en/jobs/3831660-junior-store-manager-all-genders-zalando/
Junior Store Manager (all genders) Frankfurt/Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/3831828-junior-store-manager-all-genders-frankfurt-main/
Junior Store Manager (all genders) Frankfurt/Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4852247-junior-store-manager-all-genders-frankfurt-main/
Elektroniker Automatisierungstechnik (all genders) Zalando,Graduate / Entry Level,Ludwigsfelde,https://jobs.zalando.com/en/jobs/4756914-elektroniker-automatisierungstechnik-all-genders-zalando/
Mechatroniker*in (all genders) Zalando Ludwigsfelde,Graduate / Entry Level,Ludwigsfelde,https://jobs.zalando.com/en/jobs/4756919-mechatroniker-in-all-genders-zalando-ludwigsfelde/
Senior Data Engineer - Connected Network (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4715376-senior-data-engineer-connected-network-all-genders/
"Head of Product Design, Connected Network (All Genders) (Stockholm)",Professional Level,Stockholm,https://jobs.zalando.com/en/jobs/4103184-head-of-product-design-connected-network-all-genders-stockholm/
Senior CRM Manager (all genders) Retail,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4914735-senior-crm-manager-all-genders-retail/
Junior Store Manager (all genders) Mannheim,Leadership,Mannheim,https://jobs.zalando.com/en/jobs/4271732-junior-store-manager-all-genders-mannheim/
HR Business Partner / Personalreferent (all genders) Zalando Logistics Mönchengladbach,Professional Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4810401-hr-business-partner-personalreferent-all-genders-zalando-logistics-m-nchengladbach/
Head of Learning & Leadership Development (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4506403-head-of-learning-leadership-development-all-genders/
LKW Fahrer (all genders),Entry Level,Erfurt,https://jobs.zalando.com/en/jobs/4486721-lkw-fahrer-all-genders/
Programmatic & Display Media Lead - Brand Marketing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4554873-programmatic-display-media-lead-brand-marketing-all-genders/
Supervisor*in Verkaufsfläche (all genders),"Professional Level, Leadership",Leipzig,https://jobs.zalando.com/en/jobs/4576980-supervisor-in-verkaufsfl-che-all-genders/
Product Security Team Lead (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4584391-product-security-team-lead-all-genders/
Werkstudenten (all genders) in Teilzeit Zalando Outlet Frankfurt/Main,Entry Level,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4588517-werkstudenten-all-genders-in-teilzeit-zalando-outlet-frankfurt-main/
Copywriter Austria/Switzerland (German Language) (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4631136-copywriter-austria-switzerland-german-language-all-genders/
E-Commerce Application Manager (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4630344-e-commerce-application-manager-m-w-d/
Senior Backend Engineer- Search (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4641303-senior-backend-engineer-search-all-genders/
Senior Principal Applied Scientist (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4643045-senior-principal-applied-scientist-all-genders/
Lead People & Organization / Personalleiter (all genders) Zalando Logistics Erfurt,Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4712724-lead-people-organization-personalleiter-all-genders-zalando-logistics-erfurt/
Principal Backend Engineer - Partner Fulfillment Solutions (all genders),Professional Level,Stockholm,https://jobs.zalando.com/en/jobs/4661316-principal-backend-engineer-partner-fulfillment-solutions-all-genders/
Senior Android Engineer - Product Experience (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4668009-senior-android-engineer-product-experience-all-genders/
Werkstudent (m/w/d) Recruiting & Employer Branding,Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4706071-werkstudent-m-w-d-recruiting-employer-branding/
