,role,location,url
0,"Senior Site Reliability Engineer, Core Infrastructure",Boston or Remote Americas,https://www.lifeatspotify.com/jobs/senior-site-reliability-engineer-core-infrastructure
1,Lead Platform Success Manager,New York or Remote Americas,https://www.lifeatspotify.com/jobs/lead-platform-success-manager
2,"Editorial Lead, UK&IE",London,https://www.lifeatspotify.com/jobs/editorial-lead-ukie
3,"Product Director, Growth Opportunities",New York or Remote Americas,https://www.lifeatspotify.com/jobs/product-director-growth-opportunities
4,Social Media Lead,Mumbai,https://www.lifeatspotify.com/jobs/social-media-lead
5,Podcast Marketing Manager,Mumbai,https://www.lifeatspotify.com/jobs/launch-marketing-manager
6,Account Manager,Mexico City,https://www.lifeatspotify.com/jobs/account-manager
7,"Senior Software Engineer, Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-software-engineer-platform
8,"Director of Product, Talk",New York,https://www.lifeatspotify.com/jobs/director-of-product-talk
9,"Senior Data Engineer, Core Infrastructure",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-data-engineer-core-infrastructure
10,"Manager, Content FP&A",New York,https://www.lifeatspotify.com/jobs/manager-content-fpa
11,Campaign Manager India,Mumbai,https://www.lifeatspotify.com/jobs/campaign-manager-india
12,"Client Partner, AMP",Austin,https://www.lifeatspotify.com/jobs/client-partner-amp-3
13,"Client Partner, Entertainment",Los Angeles,https://www.lifeatspotify.com/jobs/client-partner-entertainment
14,"Client Partner, Pharmaceutical",New York,https://www.lifeatspotify.com/jobs/client-partner-pharmaceutical
15,"Senior Engineering Manager, Data Products",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-engineering-manager-data-products-2
16,"Data Scientist, Content Analytics, Music Partnerships",New York or Remote Americas,https://www.lifeatspotify.com/jobs/data-scientist-content-analytics-music-partnerships
17,"Creator Partner Manager, GSA",Berlin,https://www.lifeatspotify.com/jobs/creator-partner-manager-gsa
18,"Senior Product Manager, Search Infrastructure",Barcelona,https://www.lifeatspotify.com/jobs/senior-product-manager-search-infrastructure-5
19,"Senior Product Manager, Personalization",Berlin,https://www.lifeatspotify.com/jobs/senior-product-manager-personalization-5
20,"Senior User Researcher, Data & Insights (Experimentation Platform)",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-user-researcher-data-insights-experimentation-platform
21,"Client Partner, Finance & Insurance",New York,https://www.lifeatspotify.com/jobs/client-partner-finance-insurance
22,Music Sales Manager,Miami,https://www.lifeatspotify.com/jobs/music-sales-manager
23,"Backend Engineer, Advertising",New York or Remote Americas,https://www.lifeatspotify.com/jobs/backend-engineer-advertising
24,"Data Engineer, Advertising",New York or Remote Americas,https://www.lifeatspotify.com/jobs/data-engineer-advertising
25,"Senior Project Manager, Accounting & Finance",New York,https://www.lifeatspotify.com/jobs/senior-project-manager-accounting-finance
26,"Senior Full Stack Engineer, Backstage",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-full-stack-engineer-backstage-3
27,"Senior Engineering Manager, Data Platform",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-engineering-manager-data-platform-2
28,Artist & Label Partnerships Manager (Christian & Gospel Specialist) South Africa,Johannesburg,https://www.lifeatspotify.com/jobs/christian-gospel-specialist-artist-label-partnerships-manager-south-africa
29,"Group Product Manager, Data Processing",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/group-product-manager-data-processing-2
30,"Group Product Manager, Data Processing",New York or Remote Americas,https://www.lifeatspotify.com/jobs/group-product-manager-data-processing
31,"Senior Product Manager, Personalization",Barcelona,https://www.lifeatspotify.com/jobs/senior-product-manager-personalization-4
32,"Senior Product Manager, Search Infrastructure",Berlin,https://www.lifeatspotify.com/jobs/senior-product-manager-search-infrastructure-4
33,"Account Manager, Advertising",Atlanta,https://www.lifeatspotify.com/jobs/account-manager-advertising-5
34,"Social Media Lead, Campaign Content",New York,https://www.lifeatspotify.com/jobs/social-media-lead-campaign-content
35,"Program Manager, Global Insights Operations",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/program-manager-global-insights-strategy
36,"Senior Product Manager, Database Infrastructure (Cache)",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-manager-storage-infrastructure-2
37,Legal Program Manager,New York,https://www.lifeatspotify.com/jobs/legal-program-manager
38,"Senior User Researcher, Design Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-user-researcher-design-platform
39,"Director of Insights, Platform Mission",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-of-insights-platform-mission-2
40,"Director of Insights, Platform Mission",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/director-of-insights-platform-mission
41,Product Design 2022 Summer Internship,New York or Remote Americas,https://www.lifeatspotify.com/jobs/product-design-2022-summer-internship
42,"Senior Engineering Manager, Self, Serve Advertising",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-engineering-manager-self-serve-advertising
